"GeneSymbol"	"C1_raw"	"C3_raw"	"C4_raw"	"C7_raw"	"C8_raw"	"A9_raw"	"A10_raw"	"A11_raw"	"A12_raw"	"A14_raw"	"A15_raw"	"A16_raw"	"A17_raw"
"SFTPA1B"	1	0	2	0	1	2	0	0	0	3	0	2	0
"SFTPB"	7	10	11	5	3	5	3	8	10	3	7	2	7
"SFTPC"	32	24	83	37	46	33	52	67	36	49.00314278	48	57.01019798	34
"SFTPD"	47	73	68	96	72	31	53	62	73	106	130	117	59
"SGCA"	11	20	31	16	19	18	8	22	19	29	24	17	15
"SGCB"	2058	1135	1896	3026	2125	1897	1861	2058	2658	2833	2256	3189	1435
"SGCD"	772	477	651	1261.878189	824.6645201	624	597.0283922	922	852.9376205	803.8597	961.0499227	799	518
"SGCG"	55	52	76	108	69	56	37	57	68	124	31	104	57
"SGK1"	3921.440159	1279.184557	3670	1562	2220.059751	2506.881564	2059.220845	4168.241074	5313.591806	2587.385408	2809	2759.82709	2285
"SCG5"	3865.480126	2480.245855	5038.448537	7944.849726	5075.707015	3800.075586	3371.010492	3969.284163	4159.064981	4970.753408	4211.549497	6491.265916	2082
"SGSH"	34	64.04231182	51	63	46	22	34	47	78.0159396	86.0183417	69	87	58
"SGTA"	1233.146533	974	2060.720927	2107.943383	1501.976391	1067.89071	856.0770689	1367.958617	1613.506582	1821.261117	1796.809067	1836.951858	1078.941544
"SH3BGR"	198	171	317	331	174.8668049	282	169	220	246	333.0311395	268	290	204
"SH3BGRL"	1945.32659	1530	1893.23299	3134.860963	2301.152967	2321.264972	2407.299577	2037.812153	2676.433699	3005.950682	2622.912295	3345.600494	1586
"SH3BP2"	296	238	408	547	535	255	256	327	705	741	520	819	507
"ITSN1"	5089.146217	4568	7642	8809.335562	5733.008251	5048.522667	4526.943053	6666.449939	5466.973333	6551	5672.346166	9235.947414	3969
"SH3GL1"	552	505	814.0679387	1131	824.0259855	457	355	665	692.0263851	774	853	1151	613
"SH3GL2"	5657.289679	3296	8578.078278	10671.7561	6868.518709	6059.029534	4583.203413	6863.075573	4916.070182	6432.024204	4761	10668.11315	3505
"SH3GL3"	2620	1606	3765	4639	2753	3030	2169	2706	4089	3958	3110	3469	1902
"SHB"	381	251	553	543	231	388	225	444	575	629	459	595	389
"SHBG"	13	10	5	11	9	16	3	12	9	9	9	14	10
"SHC1"	447.6150671	499.8981699	722.9134676	771.6221301	443	348	335	519	660.0118634	1019.930002	563	1126.866586	545
"FBXW4"	809	752	1442	1551.214227	913.727936	929	733	1205	1227	1191.621153	1081.066131	1386.694541	789
"SHH"	21	15	39	50	34	19	13	28	15	45	18	37	8
"SHMT1"	345	152	442	322.2779473	310	256.9607843	283	342	484.0045232	590	501	526.402113	263
"SHMT2"	166	131	232	287	181	131	100	226	179	208	145	332	125
"SHOX2"	0	0	1	2	0	0	1	0	1	2	0	2	0
"SI"	7	3	1	4	60	9	13	3	0	16	6	0	1
"SIAH1"	37	35	54	61	53	40	29	44	69	67	67	56	26
"SIAH2"	273	178	435	538	287	303	228	351	322	389	297	506	207
"ST6GAL1"	1032	620	1257	1332	785	848	953	1216	1209	1323	1219	2120	769
"ST3GAL1"	345	253	499	594	325	287	289	387	376	442	433	617	303
"ST3GAL2"	312	254	455	543	368	308	204	353	291	360	402	567	279
"ST3GAL4"	580	365.8122277	782.9367045	999.7925355	505.4329487	653.2368643	419.9141649	770.9811497	762.0337234	998	847	785.8202425	447
"ST3GAL3"	547	431	606.879352	963.8443377	724.6772481	494.3336974	447	521	608	752	587	876.2592426	380
"ST8SIA1"	1311	837.0020811	1574.336842	2678.229997	1343.216523	1545	1239.00325	1519.010464	1502	1664.012711	1342	3084.259769	945
"SILV"	10	19	22	11	3	3	3	14	13	15	14	15	12
"STIL"	142.0010096	142.0378328	221	328	187	129	153	195	236	292	214.2161257	251	122
"SIM2"	98	43	99	102	132	85	51	138	100	116	69	155	74
"SIPA1"	295	244	560	237	295	185	185	541	529	389	421	484	430
"SIX1"	4	2	5	7	6	2	12	10	9	5	17	2	3
"SIX3"	1	1	3	2	1	3	0	1	0	0	11	2	1
"SKI"	1370	1441	2120	1916	1591	1016	1188	1884	1915	2170	2155	2434	1640
"SKIL"	1726.127035	868	1620	2443	1574.886199	1474	1411	1679	1615.129244	1675	1501	2566	1004
"SKIV2L"	943	1154	1973	2440	1412	1154	946	1480	1547	1496	1391	2476	1075
"SKP1"	4346	2696	4585	5911	3759	4322	3936	3934	4785	5864	3355	5143	1691
"SKP2"	414.96875	312	423	514	423	386	277	452	555.0420621	622	492	507.0470682	282
"SLA"	273	84	224	121	210.0295358	131	230	201	447	136.0064891	239	370	279
"SLAMF1"	0	0	0	0	0	1	0	0	6	1	0	1	0
"SLC1A1"	1237	832	1714	2452	1391.030654	1113.971831	1138	1418	1344	1357.972973	1052	2457.180867	930
"SLC1A2"	111696.9768	82630.58827	61837.77714	183230.547	125139.0484	82749.43698	80897.09069	81407.1042	116296.0306	139969.5625	146912.5001	135749.24	80705
"SLC1A3"	20765.31813	12777.68475	19711.81558	19068.28618	14180.63148	13191.27363	12260.39977	18616.89369	20861.84246	27088.51716	17628.37726	31104.77271	17900.21138
"SLC4A3"	1159	1309	2060	2880	2012	1194	1167	1699	1667	2295	1928	2839	1374
"SLC1A4"	2134	1868	2505.202389	3922.10372	2422.093767	1615	1753	2064.139762	2354	2686	2992	3245	1634
"SLC1A5"	65	23	84	23	69	34	38	99	196	77	81	155	118
"SLC1A6"	118	86	177	378	233	142	124	114	164	102	146	251	82
"SLC1A7"	16	5	53	20	4	6	15	39	6	88	73	73	14
"SLC2A1"	1519.984791	1432.308649	2553	1945.161478	1995.969224	1463.198738	1334.971014	2331.177928	2940.185747	2752.33521	2211.254224	3817.784595	1657
"SLC2A2"	84	26	55	42	25	46	28	71	75	62	52	41	56
"SLC2A3"	1798.875112	1111.910868	2338.314485	3408.927294	1747.663384	1955.994048	1806.93403	1922.248178	1555.317919	1723.07319	1445.653951	2960	1319
"SLC2A4"	43	39	76	46	74	31	62	46	62	64	49	57	55
"SLC2A5"	323	101	300	86	306.013938	155	344.9710145	359	689.0593802	230	320.7666894	638	324
"SLC3A1"	1995	1043	1995	4610	2851	2548	2339	1923	1619	2306	1715	4104	1051
"SLC3A2"	1425	1093	1493	2474	1580	1142.972603	1118	1588	1771	1932	2147	2294	1380
"SLC4A1"	8	4	8	8	7	1	3	5	4	12	6	23	8
"SLC4A2"	453	244	854	693.8619704	405.5227698	352	385	778	713	726	894	750	559
"SLC5A1"	1	1	4	2	10	4	1	2	3	1	6	8	0
"SLC5A2"	189	203	248	425	265	174	194	208	302	378	339	427	148
"SMTN"	126	196	486.1440416	225.000589	170	134	116	356	272	314.0001633	248.6066476	443.2412479	286
"SLC5A3"	2482	1212	3924	4560	1641	2202	1877	5212	2005	2629	2039	5440	2420
"SLC5A4"	138	175	252	115	78	134	71	170	148	138	159	201	169
"SLC5A5"	4	20	1	17	16	9	43	14	13	11	15	22	3
"SLC6A1"	5310	4761	7189	10762.1012	7612	5300	5544.988024	6558	8151	9046	7629	8503	4491
"SLC6A2"	3	0	0	3	7	0	0	1	1	2	1	4	2
"SLC6A3"	0	2	0	0	0	0	2	2	0	0	0	2	0
"SLC6A4"	6	5	15	14	16	10	6	6	14	17	12	9	3
"SLC6A6"	703	523	990	840	826	841	715	772	1087	1413	1148	1343	514
"SLC6A7"	1126	1142	1686	2064	1580	967	938	1113	984	1109	1237	2085	855
"SLC6A8"	2352	1531	2729	2721	2249	1923	1395	2399	3738	2857	2300	2810	1723
"SLC6A9"	440	211	733	414	374	392	414	875	566	558	535	657	480
"SLC6A11"	577	616	714	1013	1016	639	502	644	1022	1570	1313	1394	861
"SLC6A12"	361	457	825.01488	588.8096687	248	305	306.7206141	648	408	578	407.0318663	481	420
"SLC6A13"	116	145	96	243	112	120	134	248	138	200	166	198	108
"SLC7A1"	1492	1353	2298	2392	1754	1590	1378	2288	1966	2290	1560	3072	1350
"SLC7A2"	1121	948	1640	864	1143	932	1775	1844	2294	1193	1436	1895	1976
"SLC8A2"	1649	1572	2450	3603	2521	1439	1206	1723	2131	2397	2359	3130	1516
"SLC7A4"	106	74	164	237	159	87	103	87	113	133	135	187	103
"SLC8A1"	6444.802069	4457	9160.418961	15494.74596	9376.953452	7326.782051	6414.483461	8345.152725	6558	7346.276691	6761	14685	4403.133046
"SLC8A3"	373.875	312	514	822	449	456	454	333	404	338	486	797	262
"SLC9A1"	749	599	918	1067.014737	893	550	529	706	727	983	767	1083	526
"SLC9A2"	51	59	86	212	141	100	139	131	97	104	70	145	56
"SLC9A3"	61	87	167	167	106	95	88	103	102	174	181	149	178
"SLC9A5"	156	192	376	325	281	224	233	272	261	285	223	422	251
"SLC10A1"	32	33	31	63	30	44	31	63	55	48	44	38	24
"SLC10A2"	0	0	2	1	0	2	1	1	0	1	0	1	0
"SLC11A1"	268	69	176	36	297	59	209.5257768	173	501	300	322.012931	489.8732928	412
"SLC12A1"	67	46	138	159	120	295	363	73	70	59	102	116	39
"SLC12A2"	7233	3627	7747	11850	5818	8568	5675	8559	9701	10156	7609	8818	4712
"SLC12A3"	3	6	13	10	3	4	3	21	7	7	5	27	15
"SLC12A4"	354	388	633	674	407	359	276	536	840	741.0259129	711.0996416	861	593
"SLC13A1"	2	0	0	0	1	3	0	0	1	0	0	1	2
"SLC14A1"	3422.023578	1792.990148	1813	907	1954.013992	1528	2223.006775	2502	3865.016043	1025	1880	2477	2035
"SLC15A1"	0	0	0	0	5	0	1	0	0	0	0	0	0
"SLC15A2"	999	1084.020298	1492	1585	1600	956	975	1407	2012.064473	1559.042949	1657	1449.667361	1473
"SLC16A1"	953	1045	931	1654	934	790	889	1117	1565	1165	1190	1754	874
"SLC16A2"	282	257	377	678	393	302	294	361	436	533	393	566	228
"SLC17A1"	0	0	0	1	0	0	0	1	0	0	1	2	2
"SLC34A1"	1	1	0	0	0	0	0	0	0	2	0	0	2
"SLC18A1"	0	2	2	0	1	0	0	3	1	1	1	14	0
"SLC18A2"	20	8	22	37	39	25	22	14	24	21	17	27	20
"SLC19A1"	109	169	227	222	156	94	79	198	162	172	182	244	159
"SLC20A1"	1622.087866	1071	1365	2962.992308	1760	1356	1399	1303	1553.988889	2054	1582	2259	821
"SLC20A2"	1612	1084	1865	2470.001246	1869.000459	1531	1386.000396	1764	2083.000454	2342	2098	2914	1313
"SLC25A1"	269	301	715	626	401	396	343	661	548	722	631	804	432
"SLCO2A1"	90	80	111	107	147	93	88	48	145	120	142	108	62
"SLCO1A2"	3357	1483	4170	3418	1932	4371	2711	3215	5563	4053.075298	5072	3371	2696
"SLC22A1"	16	19	27	14	48	11	5	19	26	39	28	26	19
"SLC22A3"	52	69	46	71	72	44	114	106	117	86	69	100	47
"SLC22A2"	2	9	4	4	7	2	36	14	2	4	8	7	0
"SLC22A4"	191	127	136	180	148	89	143	181	203	202	164	275	148
"SLC22A5"	301	308	350	381	319	254	227	366	459	442	309	528	263
"SLIT1"	3414	3157	5356.932323	7633.791927	5545.85406	3662.959361	2433.944554	3575	5113.945388	4428	4771.894533	8502.8415	3255
"SLIT3"	564	641	1180	1542	972	647	653	786	921	1110	1133	1369	760
"SLN"	2	0	7	32	17	11	14	0	11	2	14	0	1
"SLPI"	20	19	21	12	11	4	78	26	16	2	114	39	3
"SNAI2"	19	19	29	19	17	15	35	37	31	32	28	38	9
"SMARCA1"	3136	2201	3967	5031	3682	3190.985612	3136.9875	3708.152431	4309.214247	4993.081081	3876	5483	2521
"SMARCA2"	6675.081107	5693	9293	13491	9380.217945	6972	6678	8253	8176	9458	7992	12298	5159
"HLTF"	3260	2198	2855	5713	3386	3651	3130	2891	3996	4509	3599	4633	2057
"SMARCA4"	3470	3584.117168	5173	6221.057342	4420.871269	3135	3099.099684	3627	4274	5203	4790	6684	3027
"SMARCB1"	869	668	1141	1394	968	681	663	919	1045	1182	1065	1510	634
"SMARCC1"	2437	1996	3047	3508	1865.848182	2091	1759.031072	2890.023873	3472.78042	3104.12853	2501	3171	1922
"SMARCC2"	5408.88618	4776.963993	8422.296808	9275.5062	6101.588131	4732	4817.009763	6531.956367	5664.834417	6798.850188	6453.775497	9644.135237	4300.65733
"SMARCD1"	1008.00676	740	1086	1476.027549	1119	850.0122054	842	884.0256476	1256.685901	1254.015733	1034.559526	1474.466519	648.3701605
"SMARCD2"	763	542	1210.081674	648	852.0314843	608	591	733	1145.109239	845.0491302	835.8684428	864	598
"SMARCD3"	1679	1138	2277.026529	2746	1769.00528	1292	1105	1627.018908	1774	1924	1528	2544	1384
"SMARCE1"	855	496	894	1279	787	896	733	865	1159.778324	1145	903	1220.596618	563
"SMN1"	114.9833333	38	73	126.8362719	51.72969785	87	75.78501148	37	64.05035803	76.69810603	58	76.00136305	20
"SMN2"	269.1694737	135	337.780337	399.4158503	229.4549956	213	208.001454	93	275.158166	332	180.2849589	400.3225132	89
"SMO"	77	111	152	158	128	81	63	109	183	149	109	162	122
"SMPD1"	470	414	710	937	720.0144358	449	461	621	646.0336488	804	654	832	452
"SMPD2"	107	82	177	116	97	98	70	145	125	125	151	186	95
"SMS"	354	248	476.0153385	804.7434944	442	369	342.0069104	486	394	467	383	688.2240594	243
"SUMO3"	1001.998236	549	1618	2178	1569	1143	997	1128	1177	1284	1151	2065	745
"SUMO2"	475	295	410.6923077	1124.011836	852	613.7777778	527.6693278	445	692.75	698	803	1088	443
"SIGLEC1"	19	20	48	53	51	25	25	62	77	32	41	44	48
"SNAI1"	14	6	24	18	10	19	11	19	19	16	17	9	8
"SNAP25"	44359.55368	25308.57266	55817.41182	96278.79801	57530.94876	46906.17757	43579.39904	38183.26459	36815.84478	53327.01848	39308.26612	75749.58398	23229.76509
"SNAPC1"	258	131	266	388	218	279	211	283	337	378	355	411	162
"SNAPC2"	100	90	210	213	162	85	76	187	187	192	219	236	117
"SNAPC3"	1478.970817	1077.158456	2334.302154	2714.53468	1371.651834	1739.782607	1373.826346	2003.092014	1720.912088	2168	1651.159863	2966.033314	1041
"SNCB"	1975	1706	2654	3722	2619	1510	1383	1819	1951	2774	2632	3281	1363
"SNAPC4"	507	660	826	765	595	370	471	532	775	799	775	965	514
"SNCA"	2285.970956	1458.266998	3279.045075	6948.576266	3792.05948	2951.087675	2429.595434	2613.044063	2457.792257	2972.832226	2863.378322	5448.028304	1659.978518
"SNCG"	1173	970	1720	3205	2305	1375	1324	1394	1072	1727	1681	2247	754
"FSCN1"	1510	1047	1965	2705	1757	1313	959	1829	1940	2748	2550	2733	1608
"SNRP70"	3998.043102	4392.733839	8417.94729	6300.752609	4538.416405	3820	3549.343366	4975.834776	6074.678213	5623.424183	5848.399712	6951.988776	4272.802627
"SNRPA"	243	210	493	479	249	267	251	286	346	428	401	520	238
"SNRPA1"	99	45	87	122	128.5881212	114.9393939	96.92	98.01604778	117	118.9990295	58	94	51
"SNRPB"	301	117	417	625	424	344	311	258	451	374	390	532	200
"SNRPB2"	412	244	545	680.0530456	519	425.928842	475.0479462	465	485.9392904	618.9609273	541.9412565	682	263
"SNRPC"	312	188	440	435	313	343	260	332	375	454	321	500	161
"SNRPD1"	380	235	248	578	319	335	442	412	461	522	384	588	199
"SNRPD2"	814	565	1295	1827	940	831	732	743	1011	1261	1046	1422	557
"SNRPD3"	993.9651568	722	1384.039346	1699.04952	994.1660393	905.2433533	889.5809405	1042.277273	1195.059587	1434.184545	1155	1563.159046	667
"SNRPE"	178	79	145	221	124	144	178	164	208	225	128	182	77
"SNRPF"	136	99	157	146	145	172	167	92	180	187	126	168	57
"SNRPG"	77	40	119	92.77920581	51.70341734	48	59	60	94	126	41	91.31041848	46
"SNRPN"	9515.574337	5837.26602	14339.68674	21060.8455	12339.0029	10273.6138	9024.477235	10973.89458	9539.742452	11653.93852	9242.996336	18459.32554	5898.380597
"SNTA1"	1321	1356	2097	2632	2076	991	1166	1810	2096	1633	2247	2362	1595
"SNTB1"	200	210	247	364	236	196	165	201	356	319	326	379	226
"SNX1"	2993	1869	2995	3543.061065	2903	2470.040488	2116	3286.087929	3902	3673	3307	3810	2163
"SNX2"	1417.037859	889	2026	2647	1690.067939	1607.156914	1553.117571	1770	1894.957667	1963.11482	1726	2649.121609	1008
"SNTB2"	1364.990338	1043	1430.956597	2433	1366.781151	1245	1137.098602	1327	1340	1868	1524	2123.373983	1090
"SOAT1"	531	350	647	705	478	572	526	787	864	843.0317504	599	972	532
"SOD1"	4798.111642	3074.902576	6755.725729	10559.27575	6757.845217	5595.084575	4299.36455	6046.763488	5190.360224	6000.854376	5615.77544	8729.465302	3141
"SOD2"	2640.342525	1424.792622	2851.585959	3971.178509	2974.225437	2587.922681	2312.045752	2499.014852	3192.350442	3836.008501	2642.332262	5730.52569	1694.685144
"SOD3"	51	60	43	124	51	55	38	51	81	87	101	90	40
"SOLH"	216	318	609	548	341	186	194	479	405	411	515	666	470
"SON"	7469	5271	10254	11362	8585	7527	7002	8533	9972	9664	8886	12565	5997
"SORD"	240	145	292	398	331.0219524	206	222	342	298	326	378	473	159
"SORL1"	19517	13034	28686	41769	24217	23454	18664	27331	19908	20920	19129	36622	13747
"SOS1"	2857	2082	3374.181226	4320	2404.635609	3030	2618	3579.138254	3597	4162.535714	2843	4622	2239
"SOS2"	2690.952756	1591	3268	3412.165064	2134.087899	2617.050387	2028.007614	3012.035128	3917	3606.100782	2734	3234	1929
"SOX1"	60	45	106	121	75	67	63	77	89	66	79	90	62
"SOX2"	932	820	1232	1619	1044	959	973	1099	1371	1740	1752	1923	1168
"SOX3"	5	4	4	12	2	4	2	5	9	13	11	3	2
"SOX4"	91	76	115	257	133	96	85	134	190	167	158	235	73
"SOX5"	1497	1324	2208	2915	1576.011852	1429	1330	1818.030662	1985	1793	1889	2685	1519
"SOX9"	1013	800	1092	1324	1115	720	822	986	1581	1744	1473	1445	1181
"SOX10"	974	511	1400	1005	715	857	601	1240	1489	1355	1644	1186	924
"SOX11"	101	74	75	188	129	70	103	104	168	153	114	168	83
"SOX15"	64	35	73	110	58	36	59	47	75	77	74	96	30
"SOX12"	165	268	365	297	169	187	183	303	340	344	303	290	208
"SP1"	1481	848	1767	1630	1133	1426	1087	1608	1900	1916	1574	2018	1163
"SP2"	244	192	251	307	271	170	169	213	285	356	299	309	202
"SP3"	1603	880	1821	2384	1770	1667	1380	1482	2104	2212	1917	2475	1120
"SP4"	828	491	867	1146	700	771	728	789	1003	962	1041	1212	626
"SP100"	579	289	474	403	464.8454085	339	392	557	785.8067913	526	598.7849486	725.7126703	519
"SPAG1"	337	284	438	451	442	290	323	355	472	503	411	662	329
"UAP1"	821.1054682	485	1106.078574	1526.157085	935.1557112	808.0698259	770.0587539	892	950.3780202	1020	734	1546.060114	437
"SPAG4"	45	57	91	95	85	59	61	61	67	81	80	108.4480618	68
"SPARC"	4624	1804	4249	4556	3913	4105	3124	5464	5843	6111	6469.892952	5863	3915
"SPAST"	1800	1157	1943	3256	1984.614176	1906	1782	2082.003958	2369.302086	2442.003094	1920.244693	2945.642744	1258.37949
"SPG7"	2074	1890	3420	4152	2791	2228	1990	2412	2834	3072	3068	3620	1793
"SPI1"	70	61	144	45	78	56	80	102	160	171	147	209	124
"SPIB"	1	0	0	1	0	0	1	0	1	4	2	3	1
"SPINK2"	0	0	11	23.60950094	2	0	7	0	0	6	2	5	0
"SPINT1"	11	19	39	20	17	13	30	15	29	17	32	33	19
"SPN"	25	16	52	24	17	39	15	42	46	25	32	42	39
"SPOCK1"	7994	4668	10298	12944	9755	9326	7614	10352	10369	11406	9742	11721	5476
"SPP1"	10137.87386	2341.679072	11795.11923	6343.236606	5450.337098	7863.236413	6961.469508	11001.23136	12752.37769	7349.37782	9482.060665	15166.32028	7680.111217
"SPR"	110	79	260	197	118	122	79	293	129	148	120	260	157
"SPTA1"	0	0	0	2	1	0	0	0	0	0	4	2	0
"SPTAN1"	50282.75733	45241.54757	69291.97871	103611.1097	76663.17622	51610.92117	51586.81757	56549.94134	62852.66733	74103.6976	66378.91577	104165.7207	40778.9954
"SPTB"	2859	2299	3789	4520	3612	2324	2055	3306	2642	3403	2945	4476	1925
"SPTBN1"	50345.93105	41611.40973	73305.23921	100259.0129	67238.3262	48761.38757	45651.44159	60195.3693	64285.90056	69026.10242	63331.62047	92090.55071	43148.45826
"SPTBN2"	8450.083851	8475	10957	16146	12830	7241	6549	9298.448681	8917	10802	11283	15446.96376	7401
"SQLE"	1040.050723	467	1616.23734	1713.854311	850.8091253	1349.071432	733.0406299	1525.192711	1181	1328	1081	1532.915378	716
"SRC"	414	358	609	662	408	303	327	513	429	570	475	727	344
"SRD5A1"	258	219	323	919	367	337.01353	267	324.0259458	272	483.0099081	428	616	256
"SRD5A2"	2	0	0	0	1	1	0	0	4	1	0	0	1
"SRI"	3855	2813	3497	5241	4333	3586	3402	3268	4353	5414	4462	5469	2779
"SREBF1"	1988.985141	1517.87002	2130.032539	2566.017104	1822.356819	2332.128529	1486.048966	1114.052888	3498.235875	3729.905199	2935.188098	2090.666982	1958.783135
"SREBF2"	4642	4432	6286	8279	6132	4338	3193	6221	5699	6573	6408	8973	4153
"SRF"	512	398	713	848	589	406	382	581	702	674	675	991	472
"SRM"	304.7641509	301	446.8117647	548	535	264	297	424	437.0249819	516	445	578.0394356	310
"SRMS"	4	7	4	7	1	2	11	1	4	9	2	4	4
"SRP9"	63.47674419	50.82352941	61.16247012	99.14628602	85.68873513	86.89196748	88.83098592	49.98148148	112.2335766	80.56807552	94.472	116.6794486	40.77358491
"SRP14"	2160	1536	2790	3250	2196	2056	2104	2216	2457	2878	2523	3379	1340
"SRP19"	349	219	528	638	410	329	329	377	414	484	330.8376378	496.7125	201
"SRP54"	1628.192402	1091	2054	2676.703044	1584.751221	1928.766351	1775.118653	1556.130611	2032.208672	2403	1824	2425.710518	977
"SRP68"	1743	1383	2178.102227	3554	1829.931009	1684.957651	1889	2214.941974	1893	2229.96688	1736	3294	1253
"SRP72"	2616	1645	3364.066099	4208.905528	2706	2783	2374	2707.064858	3088	3427	2560	3712	1523
"SRPK1"	1461.863014	1121	2436	2611	1880.000753	1517	1389	1915	1783	1768.003361	1516.003866	2600.009094	1125.005403
"SRPK2"	7099.691868	3885.904819	8769.571456	11482.88225	7430.869735	7282.77163	6217.989621	7071.787953	7335.975799	7924.927398	6270.67614	10420.80627	4011
"SRPR"	2011.328677	1492	2576.583193	3902.081206	2191.041221	2038.258623	1662.073501	2311.179605	2308.222637	2654.068235	1928.0501	3523.904984	1318
"TRIM21"	77	50	94	98	60	28	60	80	105	120	129	175	46
"TROVE2"	3422.003083	2056.226306	2743.330693	4945.041364	3202.358405	3558.019023	3036.295568	3335.562587	4610.322507	4799.611784	4228.341693	5300.03118	2605.037405
"SSB"	1213.932132	884	1859	2007	1311.90566	1440	1292.063576	1296.075284	1570.187135	1839.961807	1265.76824	1839.081008	752
"SSBP1"	923	771	1242	1603	984	955	1051	937	1334	1414	1169	1628	605
"SSFA2"	5254.572983	4368.943826	5952.743273	5911.109167	4355.224721	4497.542061	4145.267795	5692.652154	7700.413188	6931.457794	6956.248757	8387.634172	4871.404167
"SSR1"	3370.096473	2369.037144	3501.475148	4839.787225	3477.974329	3476.841431	2910.971046	3883.953569	4299.895426	4633.047662	3768.375057	5157.093478	2472
"SSR2"	523.207943	408.5109464	827	1022	587	596.915728	576	633.9061117	692.9961957	815.9957184	657	1072.86273	397
"SSR3"	2200	1176	1971	3026	2382	1981	2054	1960	2687	2747	2453	3414	1292
"SSR4"	370.272693	256	486	677.9553716	448.0112317	365.0020583	303	406	498.3133563	574	538.9301671	645.9467146	249
"SSRP1"	1714	1249	2589	2873	2086	1646.837209	1725	2077	2075	2469	2093	2922	1312
"SST"	217	87	159	382	178	140	166	106	168	186	221	191	70
"SSTR1"	213	130	259	550	324	158	178	224	188	199	286	402	182
"SSTR2"	416	331	586	1169	522	458	430	553	521	754	516	1059	332
"SSTR3"	122	75	155	226	125	121	108	107	98	167	166	216	80
"SSTR4"	9	6	12	21	18	4	5	7	6	15	9	11	6
"SSTR5"	0	0	0	4	3	0	0	1	0	0	2	0	1
"SS18"	1269	809	1409	1545	1070	1086	990	1344	1664	1673	1510	1670	918
"ST5"	571.6960248	549	838	979.8307219	604.3919549	515	533.9444444	665.7476141	981.626776	1003.058299	936.4579633	1154.092502	652.6709691
"ST13"	1893	1142	2012	3073.76494	1747	2071	1937	1955	2401.947144	2530	2061.037128	2778.345159	1256
"ST14"	35	30	47	24	51	14	32	37	28	28	35	170	41
"STAC"	3	14	3	26	6	5	5	9	9	8	10	3	11
"STAR"	130	86	120.0027938	186	170.0268767	93	102	124	119	168	151	213	50
"STAT1"	2845	1690	3172.139189	4805.114672	3096	2761	2613.002123	2876.005679	3548	4515.020003	3610.938812	5330.214239	1960
"STAT2"	3199.172174	2372	3886.337352	3978.053814	2839.972448	2496	2016.943662	3474	4169	3752	3151.979798	4623.124899	2477
"STAT3"	3064	2106	3931.365221	4276.040081	2598.943815	2645.420681	2732.358875	3639.169005	4594.702469	5763.020943	4000.158861	6842.570395	2972
"STAT4"	1434	969	2207	2876	1986	2055	1789	1216	1236	1801	1432	3060	721
"STAT5A"	324	182	403	301	238	249	176	288	426.0120474	289	355	368	242
"STAT5B"	1771.962963	1101	2378	2670	1679	1454	1356	1976	1988	2056	1952	2841.055704	1409
"STAT6"	814	767	1211	1396	1010	725.7668079	677	981.0306529	783.8213637	1152	1169	1770	769
"STAU1"	2036	1619	3112	3710	2428	2066	1877	2662	2725	3111	2205	3643	1657
"STC1"	53	2	45	9	9	14	31	17	11	27	24	157	64
"HSPA13"	2009	952	1888	3919	2458	2076	1901.017741	1861.992908	2130.174086	2236.246882	1867	3387	1166
"SULT1E1"	0	0	3	0	0	0	0	2	0	0	0	0	0
"ELOVL4"	746.0569	438.0427929	824	1848.155471	1085	934.0217086	696.0488397	906.0363618	803.985521	937	794	1540.895601	581
"STIM1"	1246	998	1709	2646	1599	1196	993	1472	1677	1892	1491	2648.011913	1014
"NEK4"	1031	1029	1557	1798	1213	1003	914	1334	1492	1558	1383	2115	1131
"STK3"	508	345	500	461	350	464	343	477	664.9459459	884	511	662	343
"STK4"	1445.984127	1007	2137	2267	1371	1307.041798	1406	1822	1717.132688	1726	1435	2592	1183
"AURKA"	67	38	60	92	46	44	45	51	60	48	70	87	45
"CDKL5"	3768	2352	4953	6953	4597	3686	3259	3568	4107	4536	3413	5787	2244
"STK10"	236	192	363	221	199	171	139	310	372.0158381	324	318	441	225
"STK11"	538	670	1203	1285	851	624	563	759	805	967	966	1438	745
"AURKC"	30	21	41	15	27	12	24	27	50	29	19	18	8
"SULT1A2"	41	17	26	35	34	19	15	38	53	54	41	138	38
"STRN"	2580.394223	1467.911991	2934	4118.931895	2161.901743	2822.100864	2239.277312	2718	3445.232664	3964	3119.227859	3301.111218	1457
"STX1A"	2341	1966	3640	7880	3818	2556	2512	2590	3333	3674	3485	5239	2029
"STX3"	802.0735347	668	935.6521739	1193.175338	785	703.6388889	676.4784453	704	770	924.0005481	822.0214442	1099.156839	515
"STX4"	438	416	902	775	424	434	406	553	630	597	603	780	475
"STX5"	629.0722605	438	889	942	590	654	496	693	712	947	668	1164	545
"STXBP1"	20457	14084	24098	31392	21903	16848	16907	18147	17088	23749	18220	30551	10911
"STXBP2"	33	26	75	36	61	32.00565281	32	57	102	67	68	113	67
"STXBP3"	2547.750396	1435.007844	2932.127949	3730.054106	2062.475234	2907	2332	3101.074091	3819.338769	3704.049371	3038	3498.988876	1917
"STYX"	385	250	399	465	279	415	329	419	579	719	353	546	289
"SULT1A1"	412	684	636	986	733.1106805	318	649	400	604	656	655	355.0918355	365
"SULT1A3"	14	19	32	13	12	20	18	17	30	30	23	17	9
